"","time","lat","long","datasetid","samples","taxa","variablename"
"139",-2000,-4.021156,137.216632,14941,0.198807157057654,"SheOak","Casuarina"
"140",-2000,-4.021156,137.216632,14941,11.6302186878728,"SouthernBeech","Nothofagus"
"141",-2000,-4.021156,137.216632,14941,0.198807157057654,"CeleryPine","Phyllocladus"
"142",-1500,-4.021156,137.216632,14941,15.6218905472637,"SouthernBeech","Nothofagus"
"143",-1500,-4.021156,137.216632,14941,0.696517412935323,"CeleryPine","Phyllocladus"
"144",-1000,-4.021156,137.216632,14941,15.7441574415744,"SouthernBeech","Nothofagus"
"145",-1000,-4.021156,137.216632,14941,0.615006150061501,"CeleryPine","Phyllocladus"
"146",-500,-4.021156,137.216632,14941,0.628930817610063,"SheOak","Casuarina"
"147",-500,-4.021156,137.216632,14941,21.2264150943396,"SouthernBeech","Nothofagus"
"148",-500,-4.021156,137.216632,14941,1.10062893081761,"CeleryPine","Phyllocladus"
"149",0,-4.021156,137.216632,14941,35.8736170636898,"SouthernBeech","Nothofagus"
"150",0,-4.021156,137.216632,14941,1.73751619655138,"CeleryPine","Phyllocladus"
"151",-13500,-42.680062,146.591092,14959,4.44107909160175,"SheOak","Casuarina"
"152",-13500,-42.680062,146.591092,14959,7.38098730356238,"Eucalyptus","Eucalyptus"
"153",-13500,-42.680062,146.591092,14959,1.76977009209874,"SouthernBeech","Nothofagus"
"154",-13500,-42.680062,146.591092,14959,0.57660829183276,"CeleryPine","Phyllocladus"
"155",-13000,-42.680062,146.591092,14959,5.41877714121095,"SheOak","Casuarina"
"156",-13000,-42.680062,146.591092,14959,12.9797006604105,"Eucalyptus","Eucalyptus"
"157",-13000,-42.680062,146.591092,14959,3.23364897841414,"SouthernBeech","Nothofagus"
"158",-13000,-42.680062,146.591092,14959,11.4980442593224,"CeleryPine","Phyllocladus"
"159",-12500,-42.680062,146.591092,14959,2.28665373717216,"SheOak","Casuarina"
"160",-12500,-42.680062,146.591092,14959,19.7721370144277,"Eucalyptus","Eucalyptus"
"161",-12500,-42.680062,146.591092,14959,6.82087535248287,"SouthernBeech","Nothofagus"
"162",-12500,-42.680062,146.591092,14959,25.2717324123813,"CeleryPine","Phyllocladus"
"163",-12000,-42.680062,146.591092,14959,1.17054333725526,"SheOak","Casuarina"
"164",-12000,-42.680062,146.591092,14959,15.2935911746664,"Eucalyptus","Eucalyptus"
"165",-12000,-42.680062,146.591092,14959,10.5627457487354,"SouthernBeech","Nothofagus"
"166",-12000,-42.680062,146.591092,14959,30.5555052744844,"CeleryPine","Phyllocladus"
"167",-11500,-42.680062,146.591092,14959,1.45328719723183,"SheOak","Casuarina"
"168",-11500,-42.680062,146.591092,14959,9.61937716262976,"Eucalyptus","Eucalyptus"
"169",-11500,-42.680062,146.591092,14959,23.6678200692042,"SouthernBeech","Nothofagus"
"170",-11500,-42.680062,146.591092,14959,22.1453287197232,"CeleryPine","Phyllocladus"
"171",-11000,-42.680062,146.591092,14959,1.310443490701,"SheOak","Casuarina"
"172",-11000,-42.680062,146.591092,14959,11.7300451892727,"Eucalyptus","Eucalyptus"
"173",-11000,-42.680062,146.591092,14959,33.8393169380294,"SouthernBeech","Nothofagus"
"174",-11000,-42.680062,146.591092,14959,8.4669028317097,"CeleryPine","Phyllocladus"
"175",-10500,-42.680062,146.591092,14959,1.85988987098651,"SheOak","Casuarina"
"176",-10500,-42.680062,146.591092,14959,14.5010358368413,"Eucalyptus","Eucalyptus"
"177",-10500,-42.680062,146.591092,14959,31.8166169772746,"SouthernBeech","Nothofagus"
"178",-10500,-42.680062,146.591092,14959,11.3966566214291,"CeleryPine","Phyllocladus"
"179",-10000,-42.680062,146.591092,14959,1.52594099694812,"SheOak","Casuarina"
